Date : 2025-01-03 13:47:27
Directory : /Users/mphelps/climb_w_friends_v2/src
Total : 76 files,  6524 codes, 192 comments, 552 blanks, all 7268 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         47 |      7,118 |        216 |        694 |      8,028 |
| TypeScript     |          2 |        106 |         18 |         23 |        147 |
| CSS            |          2 |         62 |          7 |          8 |         77 |
| XML            |          1 |          1 |          0 |          0 |          1 |
| C#             |         24 |       -763 |        -49 |       -173 |       -985 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |         76 |      6,524 |        192 |        552 |      7,268 |
| . (Files)                                                                                                                         |          4 |        119 |          7 |         22 |        148 |
| ..                                                                                                                                |         24 |       -763 |        -49 |       -173 |       -985 |
| ../ClimbWithFriendsAPI                                                                                                            |         24 |       -763 |        -49 |       -173 |       -985 |
| ../ClimbWithFriendsAPI/ClimbWithFriendsAPI                                                                                        |         24 |       -763 |        -49 |       -173 |       -985 |
| ../ClimbWithFriendsAPI/ClimbWithFriendsAPI/Data                                                                                   |         24 |       -763 |        -49 |       -173 |       -985 |
| ../ClimbWithFriendsAPI/ClimbWithFriendsAPI/Data (Files)                                                                           |         13 |       -352 |        -12 |        -87 |       -451 |
| ../ClimbWithFriendsAPI/ClimbWithFriendsAPI/Data/Configurations                                                                    |         11 |       -411 |        -37 |        -86 |       -534 |
| assets                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| pages                                                                                                                             |         31 |      5,698 |        221 |        567 |      6,486 |
| pages (Files)                                                                                                                     |          4 |        467 |         34 |         74 |        575 |
| pages/dashboardComponents                                                                                                         |          6 |      1,293 |         26 |         95 |      1,414 |
| pages/dashboardComponents (Files)                                                                                                 |          4 |        894 |         25 |         65 |        984 |
| pages/dashboardComponents/mapsComponents                                                                                          |          2 |        399 |          1 |         30 |        430 |
| pages/homeComponents                                                                                                              |          1 |         40 |          0 |          4 |         44 |
| pages/mapComponents                                                                                                               |         20 |      3,898 |        161 |        394 |      4,453 |
| pages/mapComponents (Files)                                                                                                       |         12 |      2,394 |        121 |        227 |      2,742 |
| pages/mapComponents/modalComponents                                                                                               |          8 |      1,504 |         40 |        167 |      1,711 |
| pages/mapComponents/modalComponents (Files)                                                                                       |          7 |      1,387 |         40 |        156 |      1,583 |
| pages/mapComponents/modalComponents/filterModalComponents.tsx                                                                     |          1 |        117 |          0 |         11 |        128 |
| reusableComponents                                                                                                                |         14 |      1,330 |         13 |        112 |      1,455 |
| types                                                                                                                             |          2 |        139 |          0 |         24 |        163 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                          | language       | code       | comment    | blank      | total      |
