name,Location,URL,Avg Stars,Your Stars,Route Type,grade,Pitches,Length,Area Latitude,Area Longitude,id
Slow Children,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105815743/slow-children,3.9,-1,Trad,5.10d,1,100,47.81847,-121.57139,1
Davis-Holland Route,Full (or nearly) Wall Routes > (f) Central Wall Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105836583/davis-holland-route,3.9,-1,Trad,5.10c,3,400,47.82384,-121.56581,2
Rattletale,Rattletale Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106204435/rattletale,3.8,-1,Trad,5.10b,3,,47.8243,-121.5613,3
Godzilla,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105790717/godzilla,3.8,-1,Trad,5.9,1,105,47.81847,-121.57139,4
Thin Fingers,(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105805741/thin-fingers,3.8,-1,Trad,5.11a,1,120,47.81859,-121.57101,5
Iron Horse,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105903139/iron-horse,3.9,-1,Trad,5.11d,1,120,47.81847,-121.57139,6
An Act of Strange Boar,(b) Central Area > Lookout Point > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107527007/an-act-of-strange-boar,3.8,-1,Trad,5.10d,1,100,47.82531,-121.55859,7
Japanese Gardens,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105791008/japanese-gardens,3.8,-1,Trad,5.11+,4,200,47.81847,-121.57139,8
Perfect Pitch,Lower Rhythm > The Rhythm Cliff > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/120714098/perfect-pitch,3.7,-1,Trad,5.10d,1,50,47.82058,-121.56988,9
Senior Citizens in Space,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106057429/senior-citizens-in-space,3.7,-1,"Trad, TR",5.7+,1,100,47.825,-121.55807,10
Toxic Shock,(b) Toxic - Tang Area > West Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105791086/toxic-shock,3.7,-1,Trad,5.9,1,90,47.81897,-121.57568,11
Princely Ambitions,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105790710/princely-ambitions,3.7,-1,Trad,5.9,2,,47.81847,-121.57139,12
Heaven's Gate,(d) Dana's Arch Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105816053/heavens-gate,3.7,-1,"Trad, Sport",5.11a,4,,47.82354,-121.56683,13
Wham,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106185268/wham,3.7,-1,Sport,5.11c,1,60,47.81962,-121.56921,14
Even Steven,(b) Toxic - Tang Area > West Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105791090/even-steven,3.7,-1,Trad,5.11b,1,,47.81897,-121.57568,15
Zoom,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106054444/zoom,3.7,-1,Trad,5.10d,1,80,47.81962,-121.56921,16
Lovin' Arms,Full (or nearly) Wall Routes > (f) Central Wall Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106194690/lovin-arms,3.6,-1,"Trad, Aid",5.10b/c A0,3,,47.82384,-121.56581,17
Sagittarius,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105796710/sagittarius,3.6,-1,Trad,5.10b,1,90,47.81847,-121.57139,18
Breakfast of Champions,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105795818/breakfast-of-champions,3.5,-1,Trad,5.10a,1,40,47.81847,-121.57139,19
PBR,Mid Wall > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108140143/pbr,3.6,-1,Trad,5.10b,1,100,47.8191,-121.5719,20
Cunning Stunt,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105800865/cunning-stunt,3.6,-1,Sport,5.10c/d,1,80,47.81962,-121.56921,21
Walking Legend,(d) Walking Legend Wall > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/111127336/walking-legend,3.5,-1,Sport,5.1,3,230,47.81721,-121.57599,22
Model Worker,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105814991/model-worker,3.5,-1,Trad,5.11c,1,120,47.81847,-121.57139,23
Climax Control,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105805759/climax-control,3.5,-1,Sport,5.11,1,70,47.81962,-121.56921,24
Folsom Blues,Mid Wall > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108161862/folsom-blues,3.6,-1,Trad,5.10c,1,,47.8191,-121.5719,25
Tatoosh,(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106171292/tatoosh,3.5,-1,Trad,5.10b,1,110,47.81859,-121.57101,26
Golden Bucket,(c) Foodbar Wall > West Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/113482015/golden-bucket,3.4,-1,Trad,5.10a,1,80,47.81911,-121.57607,27
Pisces,(A) Great Northern Slab > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106620653/pisces,3.3,-1,Trad,5.6,1,65,47.81841,-121.57219,28
Dr. Sniff and the Tuna Boaters,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105806007/dr-sniff-and-the-tuna-boaters,3.4,-1,Trad,5.10d,1,,47.81847,-121.57139,29
Plum Pudding,Mid Wall > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106386419/plum-pudding,3.4,-1,Trad,5.9,1,70,47.8191,-121.5719,30
Battered Sandwich,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106004538/battered-sandwich,3.4,-1,"Trad, TR",5.9,1,103,47.825,-121.55807,31
Peanuts To Serve You,(G) Bowling-to-Cringe > (a) West Side > Lookout Point > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106457326/peanuts-to-serve-you,3.4,-1,Trad,5.9,1,70,47.82514,-121.55905,32
Ride the Lightning,(b) Beetle Bailey Slab > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/117722802/ride-the-lightning,3.7,-1,Trad,5.10c,4,300,47.81692,-121.57748,33
Gorilla My Dreams,Winkie Dinkie Cliff > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105805980/gorilla-my-dreams,3.3,-1,Sport,5.10a,1,,47.81891,-121.5723,34
GM Route,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105790678/gm-route,3.2,-1,Trad,5.9,3,,47.81962,-121.56921,35
Shirley,(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106140118/shirley,3.5,-1,Trad,5.11b/c,1,100,47.81859,-121.57101,36
With Apologies to Walter B,(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105955198/with-apologies-to-walter-b,3.3,-1,Trad,5.11b,1,100,47.81859,-121.57101,37
Aries (aka The Lizard),(A) Great Northern Slab > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105793821/aries-aka-the-lizard,3.1,-1,Trad,5.8+,5,250,47.81841,-121.57219,38
Special K,K Cliff > The Side Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106824109/special-k,3.2,-1,Trad,5.8,1,80,47.81867,-121.57402,39
Wild Turkey,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/111859955/wild-turkey,3.1,-1,"Trad, TR",5.7,1,100,47.825,-121.55807,40
Chasin' the Lizard,Rattletale Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106362583/chasin-the-lizard,3.2,-1,Trad,5.10a,1,150,47.8243,-121.5613,41
Great Northern Slab,(A) Great Northern Slab > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105790657/great-northern-slab,2.9,-1,Trad,5.7,3,250,47.81841,-121.57219,42
Heart of the Country,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106150810/heart-of-the-country,3.6,-1,Trad,5.11b,3,,47.81962,-121.56921,43
Libra Crack,(A) Great Northern Slab > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105795777/libra-crack,3,-1,Trad,5.10a/b,1,40,47.81841,-121.57219,44
Spineless,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107305439/spineless,3,-1,"Sport, TR",5.11a,1,80,47.825,-121.55807,45
Wet Dream,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108177373/wet-dream,2.9,-1,Trad,5.9+,1,80,47.825,-121.55807,46
Happy Puppy,(c) Missing Bottle Buttress > East Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105872056/happy-puppy,3,-1,Trad,5.9,1,80,47.81955,-121.57496,47
Pressure Drop,Pressure Drop Wall > Upper Wall's Lower Tier and Trail > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106436379/pressure-drop,3.8,-1,"Trad, TR",5.11a,1,70,47.82386,-121.56443,48
Magic Fern,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106141922/magic-fern,2.8,-1,Trad,5.10a,1,90,47.825,-121.55807,49
Roger's Corner,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105838643/rogers-corner,2.7,-1,Trad,5.9,1,120,47.81847,-121.57139,50
Hell Bent for Glory,The Diamond > The Diamond Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108136104/hell-bent-for-glory,3.7,-1,Trad,5.10d,7,,47.8253,-121.561,51
Corner Flash,(b) Grandeur Buttress > East Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106677557/corner-flash,2.6,-1,"Trad, TR",5.7,1,55,47.81938,-121.57581,52
Smiley Kylee,(c) The Wart > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108623329/smiley-kylee,2.7,-1,"Trad, TR",5.7,1,100,47.81678,-121.5767,53
CF Route,K Cliff > The Side Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107254704/cf-route,2.4,-1,Trad,5.9,1,65,47.81867,-121.57402,54
Even Steven 5.8 Start,(b) Toxic - Tang Area > West Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/112118164/even-steven-58-start,2.5,-1,Trad,5.8,1,25,47.81897,-121.57568,55
Hag Crack,Hag Crag > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/109395698/hag-crack,2.4,-1,"Trad, TR",5.6,1,80,47.82545,-121.55725,56
Mourning Star,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107690583/mourning-star,2.4,-1,Trad,5.8,1,,47.81962,-121.56921,57
Law and Order,(b) Central Area > Lookout Point > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107571773/law-and-order,3.4,-1,Trad,5.10a,1,150,47.82531,-121.55859,58
Who Put The Purr In My Pussy,(c) Missing Bottle Buttress > East Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105872065/who-put-the-purr-in-my-pussy,2.6,-1,Trad,5.8,1,80,47.81955,-121.57496,59
Spring Fall,K Cliff > The Side Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107254730/spring-fall,2.3,-1,Trad,5.9,1,65,47.81867,-121.57402,60
The View from the Bridge,(b) Toxic - Tang Area > West Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108125711/the-view-from-the-bridge,3,-1,"Trad, TR",5.10d PG13,1,,47.81897,-121.57568,61
The Brett Thompson and Scott Fuller Memorial Route,(d) Dana's Arch Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/111825946/the-brett-thompson-and-scott-fuller-memorial-route,3.5,-1,Trad,5.10c,5,,47.82354,-121.56683,62
I Am In Top a Shader,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107298333/i-am-in-top-a-shader,3.8,-1,"Trad, TR",5.11d,1,90,47.825,-121.55807,63
With Apologies to Kenny G,Lower Rhythm > The Rhythm Cliff > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/120714228/with-apologies-to-kenny-g,2.9,-1,Trad,5.10a/b,1,40,47.82058,-121.56988,64
The Amphibian,Rattletale Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/110751229/the-amphibian,3.5,-1,Sport,5.11b,1,80,47.8243,-121.5613,65
Tunnel Vision,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107818883/tunnel-vision,2.7,-1,Sport,5.10d,1,40,47.81962,-121.56921,66
Journey to the Other Side of the Bridge,(b) Toxic - Tang Area > West Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106812714/journey-to-the-other-side-of-the-bridge,2.1,-1,Trad,5.8,1,45,47.81897,-121.57568,67
Smilodon Fatalis,(b) Beetle Bailey Slab > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/119198566/smilodon-fatalis,3,-1,Sport,5.8+,1,70,47.81692,-121.57748,68
5.10 in B-minor,Lower Rhythm > The Rhythm Cliff > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/120713727/510-in-b-minor,3.3,-1,Trad,5.10b,1,70,47.82058,-121.56988,69
Banana Hammock,(c) The Wart > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/110818298/banana-hammock,2.7,-1,"Trad, TR",5.9,1,,47.81678,-121.5767,70
Kite Flying Blind,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106052910/kite-flying-blind,3.6,-1,Sport,5.11c,2,200,47.81962,-121.56921,71
Natural Log Cabin,(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105805752/natural-log-cabin,4,-1,Trad,5.11d R,1,130,47.81859,-121.57101,72
SS Ultrabrutal,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105790674/ss-ultrabrutal,2,-1,Trad,5.7,1,45,47.81962,-121.56921,73
Leave My Face Alone,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106171282/leave-my-face-alone,3.3,-1,Sport,5.11a,1,90,47.81962,-121.56921,74
Kubla Khan and the Fountain of Eternal Stoke,Rattletale Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/113352015/kubla-khan-and-the-fountain-of-eternal-stoke,2.6,-1,Trad,5.8,1,60,47.8243,-121.5613,75
Behind the Tombstone,(b) Beetle Bailey Slab > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/117064979/behind-the-tombstone,2.6,-1,Sport,5.9+,1,50,47.81692,-121.57748,76
Agent Orange,(b) Grandeur Buttress > East Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107819526/agent-orange,3.2,-1,"Trad, TR",5.11c,1,70,47.81938,-121.57581,77
Robin's Ramp,Mid Wall > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106461785/robins-ramp,2.1,-1,Trad,5.7,1,85,47.8191,-121.5719,78
Tommy's Sandbox,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107720333/tommys-sandbox,3.7,-1,Trad,5.11-,1,1151,47.81847,-121.57139,79
Beetle Bailey P1,(b) Beetle Bailey Slab > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/119108504/beetle-bailey-p1,3.2,-1,Trad,5.10d,1,,47.81692,-121.57748,80
Rise Pumpkin Rise,K Cliff > The Side Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107304882/rise-pumpkin-rise,2.4,-1,Trad,5.9+,1,75,47.81867,-121.57402,81
Them,Duck Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106455191/them,3,-1,Trad,5.9,1,50,47.8249,-121.5601,82
Racer X,(b) Beetle Bailey Slab > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105805970/racer-x,3.5,-1,Sport,5.10b,3,,47.81692,-121.57748,83
Jam Session,Lower Rhythm > The Rhythm Cliff > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/120713808/jam-session,2.9,-1,Trad,5.7,1,70,47.82058,-121.56988,84
Golden Road,(d) Dana's Arch Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106255312/golden-road,3.6,-1,Sport,5.11c,5,380,47.82354,-121.56683,85
Humpback Humpback Humpback Whale,(c) Foodbar Wall > West Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/113482156/humpback-humpback-humpback-whale,2.8,-1,Trad,5.10b,1,80,47.81911,-121.57607,86
Leeper's Z Corner,Hag Crag > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108154702/leepers-z-corner,2.8,-1,"Trad, TR",5.7+,1,90,47.82545,-121.55725,87
Japanese Gardens (to 1st anchor),"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119361117/japanese-gardens-to-1st-anchor,3.1,-1,Trad,5.10a,1,40,47.81847,-121.57139,88
Terminal Preppie,(B) Sonic Slab > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105995079/terminal-preppie,3.7,-1,Trad,5.11c,1,90,47.81838,-121.57175,89
Marginal Karma,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105795821/marginal-karma,3,-1,Trad,5.11b,1,40,47.81847,-121.57139,90
Doug Thompson's Unicorn,(c) Missing Bottle Buttress > East Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/114558660/doug-thompsons-unicorn,2.8,-1,Sport,5.8,1,50,47.81955,-121.57496,91
Frank Presley,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105808027/frank-presley,2.6,-1,Sport,5.11a,1,90,47.81962,-121.56921,92
And Say,(E) The Velvet > (a) West Side > Lookout Point > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/110383269/and-say,3.8,-1,"Trad, TR",5.11,5,300,47.82514,-121.55905,93
Flying Salamanders (Full),(b) Beetle Bailey Slab > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/119257785/flying-salamanders-full,3,-1,Sport,5.10a,1,100,47.81692,-121.57748,94
Fifth Force,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106184824/fifth-force,3.8,-1,Sport,5.12,1,100,47.81962,-121.56921,95
Sickle Crack,(A) Great Northern Slab > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106589110/sickle-crack,2.2,-1,Trad,5.7,1,50,47.81841,-121.57219,96
Timberjack,Winkie Dinkie Cliff > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105805984/timberjack,2.9,-1,Trad,5.8+,1,,47.81891,-121.5723,97
Flying Salamanders (Short),(b) Beetle Bailey Slab > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/117824423/flying-salamanders-short,2.7,-1,Sport,5.7,1,55,47.81692,-121.57748,98
Stern Farmer,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105821732/stern-farmer,3.9,-1,Trad,5.12b,1,75,47.81847,-121.57139,99
The Zipper,(2) Lower Cheeks > The Cheeks > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106329364/the-zipper,3.4,-1,Trad,5.10b,1,,47.82399,-121.56548,100
Argentinosaurus,(b) Beetle Bailey Slab > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/119443173/argentinosaurus,3.7,-1,Sport,5.10c,1,125,47.81692,-121.57748,101
Keith's Crack,Mid Wall > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108161850/keiths-crack,3.7,-1,Trad,5.11c,1,,47.8191,-121.5719,102
Numbah Ten,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105796722/numbah-ten,3.9,-1,Sport,5.12,1,90,47.81847,-121.57139,103
Rice Krispies,(b) Central Area > Lookout Point > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107527051/rice-krispies,2.9,-1,Trad,5.10b,1,60,47.82531,-121.55859,104
Comes in Quartz,K Cliff > The Side Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107254712/comes-in-quartz,2.5,-1,Trad,5.10b,1,65,47.81867,-121.57402,105
Free Range Chook,Shady Lane West > Upper Wall's Lower Tier and Trail > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106430492/free-range-chook,2.7,-1,Trad,5.10b,1,50,47.82307,-121.56695,106
DGS,(d) Dana's Arch Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107310316/dgs,2.8,-1,Trad,5.9,3,250,47.82354,-121.56683,107
Bwana Dik,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106867964/bwana-dik,3.2,-1,Trad,5.11d,1,40,47.81847,-121.57139,108
Say When,(E) The Velvet > (a) West Side > Lookout Point > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122758754/say-when,3.7,-1,Trad,5.9,2,190,47.82514,-121.55905,109
City Park,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106328525/city-park,3.4,-1,Trad,5.13d,4,350,47.81847,-121.57139,110
Flippo,Mid Wall > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107727136/flippo,2.7,-1,Trad,5.10b/c,1,60,47.8191,-121.5719,111
More than 24 Dandelions,Lookout jr > Planet Index > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122603709/more-than-24-dandelions,3.8,-1,"Trad, TR",5.7,1,70,47.82584,-121.55801,112
Exponential Excavation,(d) Walking Legend Wall > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108314873/exponential-excavation,2.6,-1,Trad,5.8,1,100,47.81721,-121.57599,113
Narrow Arrow Direct,(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106222524/narrow-arrow-direct,3.9,-1,Trad,5.12c,1,100,47.81859,-121.57101,114
Free at Last,(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/114144505/free-at-last,3.4,-1,Trad,5.10d,4,440,47.81859,-121.57101,115
TPMV (10% Meteorological Vinculation),"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106328521/tpmv-10-meteorological-vinculation,4,-1,Trad,5.12c/d PG13,4,300,47.81847,-121.57139,116
Wildest Dreams,(d) Dana's Arch Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106329266/wildest-dreams,3.8,-1,Trad,5.12-,4,350,47.82354,-121.56683,117
